epochs,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
15,1.0,1.0,3.0713200537511864e-13,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.27847710251808167,0.9463906288146973,0.942307710647583,0.9800000190734863
16,1.0,1.0,4.7817489551293946e-11,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.27847716212272644,0.9463906288146973,0.942307710647583,0.9800000190734863
17,1.0,1.0,2.504313215467846e-06,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.28736984729766846,0.9463906288146973,0.942307710647583,0.9800000190734863
18,1.0,1.0,9.869376071947045e-07,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.2908323407173157,0.9463906288146973,0.942307710647583,0.9800000190734863
19,1.0,1.0,3.4871885645770817e-07,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.2922874391078949,0.9463906288146973,0.942307710647583,0.9800000190734863
20,1.0,1.0,3.1057389732885854e-12,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.2922874689102173,0.9463906288146973,0.942307710647583,0.9800000190734863
21,1.0,1.0,1.4634374601030231e-08,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.29233282804489136,0.9463906288146973,0.942307710647583,0.9800000190734863
22,1.0,1.0,1.343866099130786e-12,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.29233303666114807,0.9463906288146973,0.942307710647583,0.9800000190734863
23,1.0,1.0,2.7019959186747045e-11,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.2923330068588257,0.9463906288146973,0.942307710647583,0.9800000190734863
24,1.0,1.0,1.705577778920997e-05,1.0,1.0,1.0,0.9923809766769409,0.9967368245124817,0.3487781584262848,0.94196617603302,0.942307710647583,0.9800000190734863
25,1.0,1.0,3.657544667134971e-08,1.0,1.0,1.0,0.9923809766769409,0.9868210554122925,0.34873485565185547,0.9282541275024414,0.942307710647583,0.9800000190734863
26,1.0,1.0,3.3690511713757587e-07,1.0,1.0,1.0,0.9923809766769409,0.9868210554122925,0.347041517496109,0.9282541275024414,0.942307710647583,0.9800000190734863
27,0.9961185455322266,0.9960500597953796,0.10958773642778397,0.9924647808074951,0.9941245317459106,0.9929577708244324,0.9866666793823242,0.9836841821670532,1.2646161317825317,0.8778263926506042,0.8909090757369995,0.9800000190734863
28,0.9950599670410156,0.9940375089645386,0.09773191064596176,0.9895956516265869,0.9929412007331848,0.9906103014945984,0.977142870426178,0.9894737005233765,1.343305230140686,0.8333332538604736,0.8064516186714172,1.0
29,0.9971771240234375,0.9972285032272339,0.08836077153682709,0.9936187863349915,0.9941452145576477,0.9964788556098938,0.9923809766769409,0.9977052807807922,0.30465033650398254,0.9591151475906372,0.9599999785423279,0.9599999785423279
30,0.9982357025146484,0.9985724687576294,0.04097875952720642,0.9976885914802551,0.9976498484611511,0.9964788556098938,0.9847618937492371,0.9915789365768433,1.80796217918396,0.8620689511299133,0.8620689511299133,1.0
31,0.9975299835205078,0.9989011883735657,0.03982295095920563,0.9970685839653015,0.9953106641769409,0.9964788556098938,0.9847618937492371,0.9936841726303101,1.664506196975708,0.8928571343421936,0.8620689511299133,1.0
32,0.9992942810058594,0.9991608262062073,0.015118592418730259,0.9982599020004272,0.998826265335083,0.998826265335083,0.9885714054107666,0.9936841726303101,1.4621808528900146,0.8928571343421936,0.8928571343421936,1.0
33,0.9992942810058594,0.9991608262062073,0.014785022474825382,0.9982599020004272,0.998826265335083,0.998826265335083,0.9923809766769409,0.9957894682884216,0.9614279270172119,0.9259259104728699,0.9259259104728699,1.0
34,1.0,1.0,0.00017445205594412982,1.0,1.0,1.0,0.9942857027053833,0.9968421459197998,0.676767110824585,0.9433962106704712,0.9433962106704712,1.0
35,0.9996471405029297,1.0,0.0004812965344171971,1.0,1.0,0.998826265335083,0.9904761910438538,0.9947368502616882,1.2427034378051758,0.9090909361839294,0.9090909361839294,1.0
36,0.9996471405029297,0.9997476935386658,0.005480658728629351,0.9988276958465576,0.9988276958465576,1.0,0.9923809766769409,0.996842086315155,0.8136090636253357,0.9433962106704712,0.9259259104728699,1.0
37,1.0,1.0,7.9444564787784595e-16,1.0,1.0,1.0,0.9923809766769409,0.996842086315155,0.8110641241073608,0.9433962106704712,0.9259259104728699,1.0
38,1.0,1.0,2.7777218747360166e-07,1.0,1.0,1.0,0.9923809766769409,0.996842086315155,0.8123918175697327,0.9433962106704712,0.9259259104728699,1.0
39,1.0,1.0,2.5632709879484664e-15,1.0,1.0,1.0,0.9923809766769409,0.996842086315155,0.8124395608901978,0.9433962106704712,0.9259259104728699,1.0
40,1.0,1.0,2.067548848572187e-06,1.0,1.0,1.0,0.9923809766769409,0.996842086315155,0.8193156719207764,0.9433962106704712,0.9259259104728699,1.0
