epochs,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
11,0.9721242189407349,0.9954109787940979,0.07370888441801071,0.9896050095558167,0.9573964476585388,0.9495305418968201,0.9676190614700317,0.9870945811271667,0.101849764585495,0.9191470146179199,0.7704917788505554,0.9399999976158142
12,0.9760056734085083,0.9938693046569824,0.07959946990013123,0.9820194840431213,0.9622641801834106,0.9577465057373047,0.9752380847930908,0.9724631905555725,0.09345614165067673,0.8788939714431763,0.8775510191917419,0.8600000143051147
13,0.9781227707862854,0.994731605052948,0.06519749760627747,0.9847968220710754,0.9603729844093323,0.9671361446380615,0.9676190614700317,0.9652000069618225,0.12676675617694855,0.913729190826416,0.8837209343910217,0.7599999904632568
14,0.9858856797218323,0.9970375299453735,0.04995739832520485,0.9892382621765137,0.9765258431434631,0.9765258431434631,0.9714285731315613,0.9721684455871582,0.11432985216379166,0.8832274079322815,0.8301886916160583,0.8799999952316284
15,0.9834156632423401,0.9952124953269958,0.05247265473008156,0.9902595281600952,0.9707602262496948,0.9741784334182739,0.9733333587646484,0.99258953332901,0.09409790486097336,0.8915077447891235,0.8103448152542114,0.9399999976158142
16,0.9823570847511292,0.9967512488365173,0.05407850071787834,0.9905961751937866,0.9695550203323364,0.9718309640884399,0.9638095498085022,0.9918736815452576,0.10651297867298126,0.8859567642211914,0.7384615540504456,0.9599999785423279
17,0.9805927872657776,0.9953109622001648,0.06120789796113968,0.9889346361160278,0.9704840779304504,0.9647887349128723,0.9676190614700317,0.9934526085853577,0.08483009785413742,0.9450445175170898,0.800000011920929,0.8799999952316284
18,0.9880028367042542,0.9980049729347229,0.03978881239891052,0.9925438165664673,0.9778037667274475,0.9823943376541138,0.9638095498085022,0.9706946611404419,0.1423983871936798,0.882012665271759,0.7540983557701111,0.9200000166893005
19,0.9869442582130432,0.99789959192276,0.03917461633682251,0.9912041425704956,0.9754959344863892,0.9812206625938416,0.9695237874984741,0.9946737289428711,0.07129416614770889,0.9518884420394897,0.8269230723381042,0.8600000143051147
20,0.9932956695556641,0.9981393814086914,0.02447986602783203,0.9940426349639893,0.9859976768493652,0.9917840361595154,0.9733333587646484,0.9633263349533081,0.12270209938287735,0.87767094373703,0.8333333134651184,0.8999999761581421
21,0.9823570847511292,0.9974559545516968,0.05098578333854675,0.9911871552467346,0.9695550203323364,0.9718309640884399,0.9599999785423279,0.9898315668106079,0.11482948064804077,0.8631347417831421,0.7301587462425232,0.9200000166893005
22,0.9890614151954651,0.9992538690567017,0.02734096720814705,0.9981080293655396,0.9801169633865356,0.9835680723190308,0.9676190614700317,0.986021101474762,0.08734337985515594,0.9631543159484863,0.7796609997749329,0.9200000166893005
23,0.9809456467628479,0.9955855011940002,0.06272860616445541,0.9881744980812073,0.9683098793029785,0.9683098793029785,0.9752380847930908,0.9928842186927795,0.08236157149076462,0.9230676889419556,0.8135592937469482,0.9599999785423279
24,0.9904728531837463,0.998752772808075,0.030910952016711235,0.9952154159545898,0.9824561476707458,0.98591548204422,0.9714285731315613,0.9711158871650696,0.12993577122688293,0.8500918745994568,0.8070175647735596,0.9200000166893005
25,0.9925899505615234,0.9990198612213135,0.023255880922079086,0.9960311055183411,0.9837020039558411,0.9917840361595154,0.9752380847930908,0.962568461894989,0.16239191591739655,0.85692298412323,0.8363636136054993,0.9200000166893005
26,0.9961185455322266,0.9994338750839233,0.015779471024870872,0.9977983236312866,0.9918128848075867,0.9953051805496216,0.9657142758369446,0.962378978729248,0.17807674407958984,0.8695588111877441,0.7666666507720947,0.9200000166893005
27,0.9915314316749573,0.9989888072013855,0.02774595469236374,0.9965611696243286,0.9847775101661682,0.987089216709137,0.9580952525138855,0.9823788404464722,0.12562812864780426,0.8893492221832275,0.7121211886405945,0.9399999976158142
28,0.9936485290527344,0.9991423487663269,0.02059359662234783,0.9965459108352661,0.984883725643158,0.9941314458847046,0.9714285731315613,0.974273681640625,0.10420838743448257,0.9232605695724487,0.8571428656578064,0.8399999737739563
29,0.9936485290527344,0.9993911385536194,0.02160969004034996,0.9976569414138794,0.9894366264343262,0.9894366264343262,0.9752380847930908,0.9762105941772461,0.10290583223104477,0.9449489116668701,0.8363636136054993,0.9200000166893005
30,0.9177840352058411,0.9742165803909302,0.27399423718452454,0.9483976364135742,0.9110226035118103,0.8051643371582031,0.9676190614700317,0.9499368071556091,0.22087864577770233,0.8465189337730408,0.9024389982223511,0.7400000095367432
31,0.9294283986091614,0.9698660373687744,0.2066124677658081,0.9404950737953186,0.9190231561660767,0.8392018675804138,0.9523809552192688,0.9642105102539062,0.19044798612594604,0.8561278581619263,0.692307710647583,0.8999999761581421
